Electricity_Usage_kWh,Gas_Usage_kWh,Car_Usage_km,Flight_Trips_per_year,Diet_Type,Waste_Produced_kg,Recycling_Rate,Cycling_Habit,Public_Transport_Habit,Carbon_Footprint_kgCO2
174,475,278,9,vegan,7.58,0,1,1,2153.5
485,314,125,7,vegetarian,8.02,1,0,1,1800.2
1333,391,315,6,vegetarian,9.67,1,0,1,2704.8
574,327,490,6,meat,5.49,0,1,1,2834.6
517,488,395,5,vegetarian,6.54,1,1,0,2319.4
446,206,140,6,vegan,4.01,1,1,0,1435.3
739,471,355,6,pescatarian,7.1,0,0,1,2553.3
1038,300,102,9,vegetarian,5.17,0,1,1,2072.5
1054,579,225,1,pescatarian,4.94,0,0,1,1810.2
975,376,389,9,pescatarian,8.7,1,1,0,3107.8
862,146,62,1,vegan,1.45,0,0,0,902.3
1302,562,293,9,meat,8.94,1,1,0,3299.1
1305,265,383,6,meat,8.67,1,0,1,3073.0
763,181,305,9,pescatarian,5.56,0,1,0,2626.3
124,309,253,6,vegetarian,5.41,1,1,1,1657.7
1303,174,179,6,pescatarian,4.26,1,0,1,2114.2
809,131,39,4,meat,9.95,0,0,1,1838.8
1284,332,263,0,vegetarian,2.0,0,0,1,1599.1
276,108,188,1,meat,6.31,1,1,1,1355.9
384,593,7,8,vegan,7.14,0,1,0,1594.4
162,210,103,7,meat,9.41,0,1,0,2022.0
1102,333,224,7,vegetarian,8.02,1,1,0,2411.9
761,155,33,9,vegetarian,6.79,0,1,1,1799.0
765,154,235,0,pescatarian,2.05,0,0,0,1418.7
255,488,462,5,vegetarian,4.36,1,0,1,2196.9
1172,277,227,8,vegan,2.25,1,1,1,2049.1
1066,367,187,7,meat,8.93,1,1,1,2557.1
948,513,312,2,pescatarian,7.75,0,0,0,2295.4
1207,521,482,3,pescatarian,7.82,0,1,0,2905.8
1484,105,429,2,vegetarian,6.87,1,0,0,2539.5
788,62,21,5,vegan,5.56,0,0,0,1343.1
247,489,342,8,pescatarian,2.35,0,0,1,2242.7
441,67,39,7,vegan,3.97,0,0,1,1236.6
575,162,172,9,vegan,2.23,0,0,1,1777.6
1186,278,438,3,meat,7.52,1,1,1,2747.4
1483,220,178,1,meat,2.44,1,0,1,1824.5
660,344,85,7,meat,7.32,0,1,0,2161.7
426,238,132,7,vegan,7.23,0,0,0,1775.9
1264,475,350,5,meat,5.13,0,1,1,2756.0
1089,128,12,7,pescatarian,2.22,1,0,1,1573.9
314,231,27,8,pescatarian,3.83,1,1,1,1385.3
534,548,83,0,vegetarian,3.88,1,1,1,832.9
1051,120,480,8,vegan,7.3,1,0,1,2876.5
822,297,463,1,meat,2.02,1,0,0,2308.6
1441,195,317,0,pescatarian,8.46,0,0,1,2194.5
131,345,348,7,vegan,7.85,0,1,0,2181.5
769,519,342,7,vegan,2.68,1,0,0,2279.2
384,555,279,3,meat,7.47,1,0,1,2079.5
1428,242,353,7,vegan,7.02,0,1,1,2670.1
528,117,262,6,meat,7.73,1,0,0,2390.6
385,543,165,1,meat,2.7,0,0,0,1502.9
1267,101,292,4,meat,2.42,1,1,0,2314.8
1142,412,67,9,vegan,3.13,0,0,1,1918.6
117,523,225,3,vegan,4.29,1,1,0,1292.4
868,570,169,2,meat,8.14,0,0,1,2034.5
689,480,85,0,vegan,7.64,0,1,0,1133.0
1494,347,132,4,meat,9.33,1,1,1,2347.6
1298,484,447,9,vegetarian,1.53,1,0,1,2938.2
1109,247,177,7,vegan,1.1,1,1,0,1826.1
293,177,489,8,vegan,7.29,1,0,1,2536.6
601,581,342,6,vegetarian,3.51,1,1,1,2105.3
1087,460,251,0,vegetarian,4.01,0,1,0,1659.5
1236,114,14,0,vegetarian,5.92,1,0,1,1033.2
213,290,222,0,meat,1.92,1,0,0,1294.5
1345,418,378,1,meat,6.78,1,0,0,2631.9
1046,585,200,0,pescatarian,3.93,1,1,0,1595.0
930,433,106,3,vegetarian,6.69,0,0,1,1594.4
1387,480,249,9,pescatarian,8.51,1,1,1,2885.5
1024,132,436,8,meat,2.54,1,1,0,2968.6
154,335,408,3,vegan,9.38,1,0,1,1916.5
899,583,88,3,vegetarian,5.78,1,1,0,1533.4
877,508,124,6,vegan,9.31,0,0,0,2066.4
261,261,112,8,meat,2.87,0,1,0,1882.3
186,175,468,6,vegetarian,6.44,0,0,1,2337.5
154,462,136,0,pescatarian,4.63,0,1,1,937.1
1301,548,246,0,pescatarian,7.97,0,1,1,1978.4
1472,474,495,3,meat,6.45,1,0,0,3188.2
1131,592,165,3,vegan,5.45,0,1,0,1778.1
932,207,149,0,meat,9.22,0,1,1,1711.6
412,161,362,5,vegan,4.39,1,1,1,1778.8
858,451,342,9,meat,2.98,0,1,0,2918.3
542,171,432,1,pescatarian,6.47,0,1,0,2075.8
427,322,67,4,vegan,6.62,0,0,0,1308.6
1177,343,220,7,meat,4.95,0,0,0,2688.9
860,447,270,2,vegetarian,5.38,1,1,1,1708.1
1362,520,320,8,pescatarian,9.64,0,0,1,3119.0
1352,256,309,6,pescatarian,7.59,0,0,0,2804.8
678,159,413,8,vegetarian,2.0,0,1,0,2469.2
1174,489,348,0,meat,2.91,0,0,1,2149.2
1106,327,19,4,vegan,9.78,0,1,0,1637.6
1387,531,288,2,pescatarian,7.54,1,0,0,2399.8
195,163,488,3,meat,9.24,0,1,1,2478.4
1211,526,491,3,vegetarian,3.73,0,1,1,2527.3
1201,370,99,6,vegan,7.68,1,1,1,1843.0
1411,228,251,9,meat,7.43,1,1,0,3072.9
1243,268,469,7,meat,3.65,0,0,0,3256.9
913,577,76,9,pescatarian,5.96,1,0,1,2167.6
590,541,134,4,pescatarian,6.65,0,1,1,1674.8
551,110,391,9,vegan,5.33,0,0,0,2552.5
264,103,411,6,meat,8.44,0,1,0,2662.4
281,587,172,2,vegetarian,8.5,0,1,0,1521.6
568,114,362,2,vegetarian,8.66,1,0,1,1906.2
1009,220,200,2,vegan,8.23,1,1,1,1582.0
834,322,216,3,meat,5.39,1,1,0,2023.1
922,584,375,5,pescatarian,4.43,1,0,1,2445.2
1043,440,207,4,meat,8.48,0,1,1,2345.0
106,376,73,7,pescatarian,5.41,0,1,1,1468.8
429,157,10,4,vegetarian,3.22,0,0,0,1047.6
874,211,286,4,vegan,5.57,1,0,0,1943.8
250,501,255,9,vegan,2.28,0,1,1,1876.8
1208,255,11,1,vegan,7.22,0,0,0,1269.0
246,65,379,4,pescatarian,4.02,0,0,1,1891.0
1014,376,478,6,vegetarian,3.35,1,0,1,2632.3
1408,51,77,1,vegetarian,9.61,1,0,0,1642.3
799,59,434,5,vegan,7.99,1,0,1,2351.7
181,483,171,6,vegan,8.08,1,0,1,1616.9
613,174,95,4,pescatarian,6.61,0,1,1,1476.7
914,130,305,8,pescatarian,8.55,0,1,1,2636.0
808,534,372,3,meat,7.83,0,0,1,2585.7
845,199,272,9,pescatarian,6.39,0,0,1,2581.7
1122,389,418,0,meat,9.65,1,0,0,2655.2
806,178,384,7,vegan,2.72,0,1,1,2202.4
570,487,412,7,vegetarian,9.49,0,1,0,2785.6
1242,550,178,6,pescatarian,4.61,1,1,0,2261.5
495,107,63,7,vegetarian,5.76,0,1,0,1575.1
360,247,131,1,pescatarian,2.1,0,0,0,1086.6
904,260,342,2,pescatarian,5.86,1,0,0,2128.0
1033,94,411,8,meat,6.5,1,0,1,3047.2
1379,146,271,0,pescatarian,9.98,0,0,1,2109.8
1004,328,318,7,vegan,9.78,0,0,0,2684.4
1349,584,331,7,vegetarian,9.7,0,1,1,2912.2
1176,459,436,6,pescatarian,4.14,0,0,0,2922.7
1039,510,340,4,vegetarian,9.92,0,1,1,2468.5
953,440,108,3,vegetarian,5.1,1,0,0,1583.5
1487,93,272,9,vegetarian,8.67,0,0,0,2984.9
1403,76,167,9,pescatarian,2.95,0,1,0,2439.3
692,146,396,9,meat,5.55,0,1,1,2907.3
813,597,179,9,vegetarian,9.69,0,0,1,2517.6
1281,268,57,5,vegetarian,9.52,0,1,0,1989.4
731,234,479,0,pescatarian,7.15,0,1,0,2240.7
158,118,420,4,pescatarian,8.18,0,1,1,2123.4
227,179,497,3,vegan,2.59,0,0,1,1839.2
835,383,78,3,vegan,7.49,0,0,0,1501.9
820,203,459,6,meat,6.56,1,0,0,2996.4
1238,596,60,8,meat,1.82,1,1,0,2238.8
1332,128,368,7,meat,2.02,0,1,1,2775.4
625,462,120,7,meat,1.98,0,0,0,2050.1
620,595,206,4,vegetarian,7.52,0,0,1,1879.5
651,218,33,5,pescatarian,2.28,0,1,1,1237.4
336,564,69,1,vegan,5.21,0,0,0,970.2
1404,363,16,2,vegetarian,4.21,0,0,1,1361.4
1482,81,495,4,pescatarian,5.95,1,1,0,2900.3
1324,336,496,1,pescatarian,7.36,0,1,0,2720.8
1401,92,19,2,vegetarian,7.16,1,0,1,1383.6
1358,50,456,3,vegetarian,5.64,1,1,0,2516.0
593,319,314,5,vegan,5.18,1,1,1,1836.2
103,229,68,4,meat,4.58,1,0,1,1269.2
765,567,214,9,meat,8.76,1,1,0,2825.6
541,152,160,3,vegan,3.98,1,1,1,1115.1
128,59,101,1,vegan,3.33,1,0,1,550.7
1232,139,375,4,meat,7.69,1,1,0,2779.7
709,275,205,4,vegetarian,4.24,1,1,1,1561.5
904,175,144,6,meat,8.62,0,0,0,2395.5
174,258,56,0,pescatarian,3.95,0,1,0,751.9
937,146,82,3,pescatarian,7.32,1,0,1,1533.3
1269,123,480,4,vegan,1.41,1,0,1,2291.9
227,240,384,7,meat,4.47,1,1,0,2469.0
141,105,268,7,meat,4.09,0,0,1,2076.5
1479,81,493,0,pescatarian,8.35,0,0,0,2713.8
140,576,410,4,meat,9.7,1,1,1,2452.8
1033,333,453,9,vegan,5.15,1,0,0,2956.4
133,543,186,0,vegan,8.42,1,0,0,1165.4
1140,236,5,0,pescatarian,7.3,1,1,1,1118.3
1276,547,352,1,meat,9.71,1,0,1,2617.6
1097,491,349,1,meat,8.3,1,0,1,2433.3
687,179,109,8,pescatarian,1.7,0,1,0,1804.7
441,341,482,3,vegetarian,7.42,0,1,0,2348.8
126,163,406,2,vegetarian,5.82,0,0,1,1717.9
1410,248,137,0,meat,1.15,1,0,1,1529.4
745,62,50,1,vegan,3.26,1,0,0,829.1
830,320,402,5,vegetarian,9.3,0,1,1,2531.0
267,264,50,8,meat,9.33,0,0,1,2004.2
709,493,475,4,vegetarian,8.19,1,1,0,2599.4
367,561,86,3,pescatarian,9.84,0,0,1,1558.8
920,496,67,4,vegetarian,8.26,0,0,0,1789.3
554,123,83,8,vegetarian,1.09,0,1,0,1525.9
1005,586,466,6,pescatarian,3.59,0,0,1,2822.8
1021,150,41,7,vegan,1.28,1,1,1,1322.0
1080,225,218,3,meat,1.85,1,1,1,1845.0
801,476,56,7,vegan,2.97,1,0,0,1581.8
733,166,225,5,vegan,5.53,1,0,0,1805.3
229,215,195,4,vegetarian,8.63,0,1,0,1648.0
1119,90,247,6,meat,8.76,0,1,1,2592.0
1486,478,165,5,vegetarian,6.55,0,1,0,2276.4
918,393,61,2,pescatarian,9.35,1,0,0,1646.9
792,473,262,4,vegan,5.5,1,0,0,1917.9
1415,415,111,8,vegan,9.0,1,0,1,2309.5
1494,169,252,6,pescatarian,5.09,1,0,0,2532.2
893,278,198,3,meat,3.5,0,1,1,1849.9
128,179,177,6,vegan,9.25,1,1,1,1522.7
248,401,435,4,vegan,4.49,0,1,0,2006.3
1419,367,25,1,meat,5.53,0,0,0,1758.6
110,386,409,5,vegetarian,3.96,0,0,0,2091.3
775,322,245,6,pescatarian,6.97,1,0,1,2195.1
1236,166,18,7,meat,9.96,1,1,1,2210.8
286,417,264,5,pescatarian,1.23,0,1,1,1639.6
906,143,316,7,pescatarian,9.1,0,1,1,2590.9
843,217,19,6,vegan,1.04,1,1,0,1186.1
1350,390,105,1,meat,4.28,1,0,0,1818.5
1433,201,236,5,pescatarian,2.52,1,0,1,2142.8
197,323,305,8,vegetarian,7.82,1,0,1,2198.9
154,545,463,5,pescatarian,1.46,0,1,1,2121.0
722,150,245,3,vegan,5.98,0,1,1,1567.5
763,131,80,6,vegetarian,3.65,0,1,1,1453.3
857,578,149,2,vegetarian,2.2,0,1,1,1334.4
505,122,396,4,meat,7.95,0,0,1,2476.6
168,63,395,0,vegetarian,2.96,0,0,1,1338.4
1435,482,9,9,meat,3.01,1,1,0,2335.1
1412,206,320,2,meat,3.48,0,0,0,2441.8
850,181,223,7,vegetarian,6.28,1,1,1,2050.8
1271,387,413,8,meat,6.94,1,1,0,3331.1
1367,453,263,8,meat,1.16,0,1,0,2784.9
1057,425,148,9,vegetarian,3.18,1,1,0,2185.0
464,156,277,1,vegan,4.88,0,1,1,1265.3
581,314,273,3,pescatarian,3.99,0,0,1,1766.7
300,254,193,4,meat,8.96,1,0,1,1906.7
253,128,431,2,meat,8.09,1,0,0,2296.9
172,204,171,0,vegetarian,6.63,1,0,1,956.2
812,296,264,5,pescatarian,4.04,1,0,0,2106.8
395,580,450,9,pescatarian,7.31,1,0,1,2912.0
1140,587,309,1,meat,8.59,1,1,1,2348.1
1340,203,25,8,vegetarian,6.35,1,1,0,2010.9
160,203,468,0,vegan,8.06,1,0,1,1663.9
1038,141,349,8,pescatarian,7.74,1,1,0,2820.8
141,482,475,6,vegan,6.15,0,1,1,2260.1
124,387,355,9,vegetarian,3.81,0,1,1,2206.1
1162,529,25,1,vegan,7.71,1,0,1,1237.7
230,180,33,5,vegetarian,2.86,1,0,0,1044.5
1352,499,263,7,meat,8.02,1,0,1,2934.2
207,322,137,1,vegan,8.24,0,1,0,1104.6
271,226,303,4,meat,8.4,0,0,0,2280.8
201,98,182,5,meat,5.26,1,0,0,1797.9
965,404,362,2,vegetarian,2.73,1,0,1,1895.2
623,357,241,1,vegan,1.9,1,1,1,1116.1
374,95,53,5,pescatarian,7.69,1,0,1,1382.5
1167,351,461,2,vegan,8.98,0,0,1,2490.3
916,457,167,1,pescatarian,6.86,0,0,1,1655.6
1056,238,118,0,meat,2.3,1,1,0,1409.4
1140,178,142,7,meat,9.41,1,0,0,2598.9
429,586,80,0,vegetarian,9.9,0,0,0,1285.3
111,315,244,4,pescatarian,4.9,0,1,0,1655.0
1441,167,401,5,vegan,6.35,1,0,0,2640.6
315,513,351,2,vegetarian,8.0,1,0,0,1938.9
438,193,357,6,vegetarian,7.63,0,0,1,2250.9
760,491,406,1,vegetarian,9.71,0,0,0,2327.8
1204,249,61,6,vegan,2.03,0,1,0,1580.7
473,206,45,1,vegetarian,6.23,1,1,0,922.3
1075,536,86,4,vegan,7.23,0,1,0,1724.8
809,183,98,6,vegetarian,9.01,1,0,1,1804.9
1323,197,294,2,pescatarian,8.87,0,0,0,2399.1
565,385,398,3,meat,9.8,0,0,1,2583.0
1212,120,52,0,pescatarian,5.61,0,0,1,1252.5
1391,282,471,2,pescatarian,8.48,1,1,0,2781.6
588,383,191,8,vegetarian,4.85,1,0,0,2078.9
146,139,446,9,pescatarian,4.8,0,1,1,2519.7
1411,383,475,4,pescatarian,3.28,1,0,0,2821.9
877,248,79,7,pescatarian,8.36,0,0,0,2128.4
1139,210,15,1,vegetarian,9.87,1,1,0,1363.5
810,587,359,2,vegan,3.31,0,0,1,1844.1
500,170,486,6,meat,1.51,0,0,0,2691.5
1080,350,325,9,meat,8.34,1,0,1,3124.5
1209,485,193,3,vegan,6.58,0,0,1,1861.5
349,117,140,8,vegan,9.64,1,1,1,1741.6
490,508,107,6,pescatarian,3.27,0,0,0,1728.4
434,563,302,0,meat,1.64,1,1,1,1522.9
728,447,264,3,vegan,5.43,0,1,0,1779.6
236,335,446,9,pescatarian,1.77,0,0,1,2522.0
982,189,289,5,meat,3.36,1,0,0,2388.2
787,331,208,5,vegetarian,2.13,0,1,0,1769.3
926,506,474,9,vegetarian,3.02,1,1,1,2850.8
826,136,412,5,meat,1.96,0,0,1,2481.8
693,128,164,4,meat,9.59,0,0,1,2074.4
1346,254,426,2,vegetarian,3.51,0,1,0,2339.7
1089,386,341,1,vegetarian,5.0,0,0,0,2062.8
471,303,370,2,meat,9.09,1,0,0,2355.9
1034,353,319,8,pescatarian,7.1,1,1,1,2675.4
1094,429,151,2,vegan,6.56,1,0,0,1631.2
501,179,454,2,vegan,7.35,0,1,0,2056.7
714,325,289,0,meat,8.46,1,0,0,2050.0
1396,232,431,1,vegan,8.9,1,1,1,2290.1
1282,317,267,2,vegetarian,6.78,0,1,1,1992.6
1275,371,150,1,vegetarian,9.01,1,1,0,1774.3
1094,561,206,7,vegan,5.82,0,1,1,2171.3
719,127,254,5,meat,3.5,0,1,1,2057.6
287,388,352,6,vegetarian,8.92,1,0,1,2235.9
1221,558,376,0,pescatarian,5.87,1,0,1,2161.4
230,287,140,5,pescatarian,9.16,1,1,1,1609.1
904,183,342,1,vegetarian,1.36,1,1,1,1529.9
1294,241,357,5,vegetarian,4.58,0,1,1,2390.8
1035,405,95,2,vegan,9.53,1,1,1,1453.0
1085,327,428,6,meat,3.25,0,1,1,2823.1
282,67,369,2,vegan,9.47,1,0,0,1807.1
1082,573,226,8,meat,9.59,0,1,0,3007.4
463,229,192,2,pescatarian,8.94,1,0,1,1577.2
138,172,302,6,pescatarian,6.07,1,1,1,1879.1
596,295,313,3,meat,6.82,0,1,1,2160.0
1472,422,492,7,vegan,8.83,1,0,1,3184.1
1081,100,388,1,vegetarian,7.98,1,1,0,2139.5
1020,120,376,7,meat,6.67,1,1,1,2819.5
821,529,460,8,vegan,9.84,1,0,0,3061.2
1284,68,117,7,pescatarian,7.17,0,0,0,2313.4
115,133,4,5,vegetarian,9.78,0,1,0,1246.4
592,204,443,9,pescatarian,1.52,1,0,0,2690.7
1231,406,351,0,meat,2.25,0,1,0,2177.3
993,492,242,6,pescatarian,5.06,1,0,0,2352.1
410,118,20,0,pescatarian,4.46,0,1,1,663.4
838,572,151,6,meat,8.04,0,0,1,2370.1
1293,192,127,1,vegetarian,2.45,0,1,0,1394.1
645,241,123,7,meat,9.78,1,0,1,2241.3
513,436,145,1,vegan,3.84,0,0,0,1141.8
350,427,276,2,meat,4.86,0,1,1,1786.1
858,584,309,2,meat,3.47,1,1,0,2150.2
1264,342,393,0,vegetarian,6.21,0,1,0,2177.6
1397,58,151,4,vegan,1.53,1,0,1,1519.9
1162,320,359,4,pescatarian,2.35,0,1,0,2342.0
913,436,110,9,pescatarian,7.71,1,1,1,2247.8
128,142,468,4,pescatarian,2.68,0,0,0,2110.6
1057,578,472,8,pescatarian,3.12,1,0,1,2987.9
576,203,115,5,vegetarian,8.14,0,1,1,1593.4
417,454,187,5,vegan,1.84,0,1,1,1354.2
344,198,56,2,vegetarian,4.94,1,0,1,868.4
847,316,250,4,meat,1.21,0,0,1,2003.8
796,471,383,9,vegan,4.12,0,1,0,2652.8
371,521,406,6,vegan,7.29,1,0,0,2371.3
1362,596,149,2,pescatarian,1.81,1,0,1,1672.8
476,575,451,1,pescatarian,9.0,0,1,0,2338.0
365,552,161,4,pescatarian,9.19,1,1,0,1810.1
1025,63,119,2,pescatarian,1.94,0,1,1,1275.9
1020,413,69,4,meat,9.92,1,0,1,2052.4
1482,168,411,8,pescatarian,3.68,1,1,0,3002.9
439,287,350,9,vegetarian,1.76,1,0,1,2218.6
488,595,98,0,vegan,1.05,1,0,1,670.0
676,218,166,3,meat,4.68,0,0,1,1752.4
102,571,297,9,meat,6.67,1,0,0,2648.3
1265,565,150,4,vegan,3.99,0,1,1,1726.5
475,446,325,1,vegan,8.53,0,0,0,1810.3
423,155,463,1,vegan,7.45,0,1,1,1838.0
245,134,1,0,meat,4.15,0,0,0,872.7
392,263,151,7,vegetarian,7.61,0,0,1,1832.9
531,170,400,1,vegetarian,9.46,1,1,1,1889.5
804,181,364,2,vegan,1.84,1,1,1,1558.3
1048,246,64,1,meat,3.75,0,1,0,1495.3
684,68,325,3,pescatarian,5.17,0,1,0,1983.4
498,61,68,0,meat,5.48,1,1,0,1111.3
916,130,120,2,vegan,5.88,0,1,0,1341.0
1467,379,108,4,meat,3.71,1,0,1,2052.7
1063,441,315,9,meat,7.01,0,1,1,3051.8
1263,356,246,0,meat,6.81,1,0,0,2143.8
286,316,433,3,pescatarian,6.2,1,0,0,2180.3
160,496,92,5,vegan,2.02,0,1,0,1109.8
1038,490,267,3,vegan,5.29,1,0,0,1948.0
809,51,102,6,vegan,4.21,0,0,0,1585.3
906,569,430,6,vegetarian,5.42,1,1,0,2669.7
1442,358,450,5,vegetarian,9.3,1,1,1,2918.4
1425,571,111,8,vegan,5.32,0,0,0,2327.3
1467,518,320,1,meat,1.13,1,1,0,2245.4
110,261,410,9,meat,4.95,1,1,0,2705.8
1185,161,303,7,vegan,8.39,0,0,1,2517.8
325,57,343,7,pescatarian,8.02,1,1,0,2338.1
1276,526,61,9,pescatarian,5.62,0,1,1,2279.3
663,509,299,3,meat,3.25,0,1,1,2044.2
871,302,402,5,meat,5.19,1,0,0,2740.6
1433,575,442,5,vegetarian,6.07,0,0,1,2897.5
984,487,135,4,pescatarian,10.0,1,1,0,2075.6
1366,285,54,0,meat,6.8,1,1,1,1543.5
1489,355,107,2,meat,7.25,0,1,0,2131.0
1453,527,302,6,vegan,5.42,1,0,0,2560.6
1230,69,257,7,vegetarian,4.19,1,0,1,2237.7
325,265,252,1,pescatarian,8.32,1,1,0,1588.0
924,184,221,2,pescatarian,5.45,0,1,0,1792.2
317,178,477,3,vegetarian,9.95,0,0,1,2301.9
1036,459,368,4,meat,5.11,1,1,1,2531.2
852,471,166,2,pescatarian,1.61,0,1,0,1512.8
605,343,428,4,pescatarian,7.14,1,0,1,2382.4
358,295,159,7,pescatarian,1.42,1,1,0,1636.0
153,135,448,7,vegan,3.25,0,1,1,2049.5
1170,424,165,1,vegetarian,4.18,0,0,1,1533.7
826,495,204,5,pescatarian,7.66,0,1,1,2104.5
788,427,266,3,vegetarian,5.45,1,0,0,1909.6
1222,439,137,8,meat,1.26,0,0,0,2448.2
1143,100,367,9,vegetarian,6.55,1,0,0,2896.5
518,291,442,1,vegan,4.7,1,1,0,1786.3
789,343,345,7,vegan,9.3,1,1,0,2524.9
949,315,247,0,vegetarian,5.5,0,1,1,1511.5
161,169,54,5,vegan,7.38,0,1,0,1185.2
1268,297,403,9,pescatarian,2.97,0,0,1,2979.1
315,119,208,0,vegan,7.85,1,0,1,1055.7
102,106,16,1,meat,7.49,1,0,1,947.3
259,431,67,2,vegetarian,9.14,0,1,0,1233.3
880,88,132,8,vegetarian,1.3,0,0,1,1761.4
1243,492,187,4,meat,5.03,0,0,0,2388.1
992,67,406,9,meat,7.11,0,1,0,3236.6
1212,401,429,9,meat,1.86,0,1,0,3241.8
428,347,307,1,meat,4.7,0,0,0,1920.6
679,332,137,9,pescatarian,9.48,0,1,1,2305.6
1480,159,173,4,vegan,4.92,0,1,0,1916.2
1390,229,411,4,vegan,9.87,0,1,1,2634.7
1051,593,96,0,pescatarian,1.51,1,0,1,1168.9
1446,74,170,2,meat,7.46,0,0,0,2243.2
734,106,153,4,vegetarian,6.23,0,0,1,1592.8
1087,229,182,8,vegetarian,5.5,1,0,1,2192.2
1318,281,241,9,vegetarian,9.74,1,0,1,2782.8
1020,392,303,0,meat,2.17,1,0,0,1943.6
837,526,284,7,pescatarian,9.06,1,0,1,2589.3
1455,504,26,0,pescatarian,7.22,1,0,0,1554.7
269,281,401,8,pescatarian,3.33,1,1,0,2387.8
620,338,359,5,vegan,9.12,1,1,0,2264.9
139,262,59,0,vegan,4.86,0,0,0,638.6
1384,307,201,7,vegan,8.33,0,1,1,2353.1
1054,579,249,4,vegan,4.5,0,1,1,1898.2
1349,278,361,6,vegetarian,8.66,1,0,1,2743.4
1083,275,68,6,vegetarian,6.73,0,0,0,1930.5
1247,484,457,6,pescatarian,2.27,1,0,1,2774.7
1074,451,369,5,vegan,6.85,0,1,0,2487.3
137,137,20,7,pescatarian,2.72,1,1,1,1095.6
427,591,151,8,meat,4.71,0,0,0,2303.8
1374,358,101,1,vegan,2.53,0,0,0,1373.4
1299,392,386,6,vegan,1.2,0,1,0,2442.1
1013,485,487,1,pescatarian,2.91,0,0,0,2415.0
553,226,94,5,pescatarian,5.83,0,0,1,1570.8
136,188,445,1,meat,5.33,0,1,0,2053.4
1439,243,360,9,pescatarian,5.51,0,1,1,3017.9
1072,235,228,5,vegan,3.23,1,0,1,1788.0
895,267,124,1,vegetarian,7.17,1,1,1,1296.1
1072,213,257,0,meat,7.34,0,1,0,2059.4
692,210,321,6,meat,4.22,0,0,0,2522.5
1237,574,486,2,vegan,8.93,0,0,0,2752.2
1163,91,368,3,vegetarian,6.8,0,0,1,2268.8
1424,259,425,5,pescatarian,7.42,1,0,0,2973.2
323,324,235,4,pescatarian,3.5,1,0,0,1671.2
417,328,161,3,vegetarian,1.01,0,0,1,1159.9
448,300,41,8,vegetarian,8.79,0,0,0,1856.0
214,359,275,5,vegan,8.4,0,1,1,1772.2
797,189,352,5,pescatarian,2.11,0,0,1,2140.7
1446,595,67,1,vegan,4.37,1,1,1,1287.5
1163,579,172,5,pescatarian,6.95,1,0,0,2282.7
139,106,491,6,pescatarian,6.87,1,0,0,2522.3
1412,161,330,7,vegetarian,8.74,1,0,1,2766.3
1385,54,124,7,vegan,2.26,0,0,1,1831.7
315,459,169,8,vegetarian,4.87,1,0,0,1911.2
1270,463,46,9,vegan,1.88,0,0,0,1982.9
435,231,260,2,pescatarian,4.51,1,1,1,1462.3
1291,62,216,9,meat,1.14,1,0,1,2511.1
191,388,304,6,meat,9.08,0,0,1,2425.9
452,308,123,6,vegan,5.74,1,0,0,1562.9
670,139,292,0,vegan,8.65,0,1,1,1489.2
915,299,161,7,vegetarian,1.54,0,1,0,1876.7
880,304,200,3,pescatarian,3.05,0,0,1,1683.7
462,157,453,4,meat,3.33,0,0,0,2477.1
656,534,401,5,vegetarian,4.48,0,0,1,2314.7
1468,307,461,2,vegan,8.23,1,0,0,2640.1
1293,331,274,4,pescatarian,4.48,1,0,0,2304.8
455,137,205,9,vegetarian,2.84,0,1,0,1973.1
290,253,39,4,vegetarian,1.58,0,0,0,997.4
521,65,272,0,vegan,1.72,0,1,0,1096.0
799,200,187,2,pescatarian,7.84,0,1,0,1769.0
106,303,354,2,meat,5.0,1,0,1,1828.9
232,237,92,0,vegetarian,7.54,0,1,1,844.1
656,378,41,6,vegan,7.14,1,0,1,1450.9
925,593,464,0,vegetarian,2.22,1,1,0,2011.4
860,446,378,6,vegan,2.29,0,0,0,2323.3
1154,566,106,3,vegan,7.8,1,0,1,1651.8
634,508,327,8,vegan,7.49,0,0,0,2561.4
525,379,64,6,pescatarian,4.4,0,0,0,1656.2
771,218,364,4,meat,1.7,1,1,1,2145.9
462,415,308,6,pescatarian,1.11,0,1,1,1931.0
181,227,483,8,meat,3.59,0,1,1,2695.6
455,411,134,9,vegan,1.08,1,0,1,1589.8
1381,89,493,5,meat,3.07,1,0,1,2953.2
688,465,388,0,pescatarian,4.78,1,1,1,1792.5
394,404,23,5,vegetarian,2.09,0,0,1,1080.2
1347,304,27,0,pescatarian,1.94,1,0,0,1179.2
1169,192,61,3,pescatarian,9.07,1,1,0,1748.1
1236,60,490,7,pescatarian,6.27,1,0,0,3124.5
1356,75,272,4,pescatarian,9.41,1,1,0,2451.0
116,470,228,4,pescatarian,4.11,0,0,1,1574.5
459,270,19,9,meat,7.09,1,0,0,2062.5
1346,545,2,7,meat,2.84,1,1,0,2083.5
965,286,420,7,vegetarian,6.57,0,1,0,2796.8
799,286,217,0,pescatarian,2.17,1,1,0,1336.3
547,268,398,4,pescatarian,1.02,1,1,1,1899.9
955,536,306,4,vegetarian,9.38,0,1,0,2422.3
464,510,431,7,vegetarian,5.99,0,0,1,2562.0
774,193,135,0,vegan,9.34,0,1,1,1199.4
